"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota požeminio vandens","tūkst. m³","25706.9"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota požeminio vandens","tūkst. m³","26671.2"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota požeminio vandens","tūkst. m³","27468.2"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota požeminio vandens","tūkst. m³","27925.5"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","22564.3"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","22838.4"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","23693.9"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","22923.2"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","23272.1"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","2434698.1"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","2452185.1"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","2252763.1"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","2431290.0"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","3170051.6"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","20176.4"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","21280.1"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","20283.4"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","22468.5"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","22892.0"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","744.6"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","757.6"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","760.2"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","862.4"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","983.6"
"2016","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","10609.5"
"2017","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","10916.3"
"2018","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","10845.4"
"2019","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","9285.8"
"2020","Vandens sunaudojimas","Kauno apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","8744.5"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Paimta vandens iš viso","tūkst. m³","69352.2"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Paimta vandens iš viso","tūkst. m³","78832.0"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Paimta vandens iš viso","tūkst. m³","77602.6"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Paimta vandens iš viso","tūkst. m³","84843.4"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Paimta vandens iš viso","tūkst. m³","90116.8"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Paimta požeminio vandens","tūkst. m³","17627.2"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Paimta požeminio vandens","tūkst. m³","16976.3"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Paimta požeminio vandens","tūkst. m³","17679.6"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Paimta požeminio vandens","tūkst. m³","17493.7"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Paimta požeminio vandens","tūkst. m³","17498.5"
