"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","14673.8"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","14926.2"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","15162.8"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","10656.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","12163.1"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","10936.4"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","10813.4"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","10325.1"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","7984.4"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","8412.5"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","7595.5"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","6718.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista išvalytų iki normos nuotekų","tūkst. m³","6968.2"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","36702.0"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","39130.2"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","38394.1"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","38795.6"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","37586.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","266.8"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","7.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","93.9"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","986.7"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","28.6"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nepakankamai išvalytų nuotekų","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","110.4"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","110.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","114.0"
