,Vandens naudojimo paskirtis,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
126,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2015,181.0,55039.0,3.288577190719308
127,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2015,,55039.0,
128,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2015,,55039.0,
129,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2015,2642.0,55039.0,48.00232562364869
130,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2016,3091.0,53731.0,57.527311980048765
131,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2016,3091.0,53731.0,57.527311980048765
132,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2016,2609.0,53731.0,48.556699112244324
133,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2016,2328.263,53731.0,43.3318382311887
134,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2016,96.792,53731.0,1.8014181757272338
135,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2016,,53731.0,
136,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2016,183.945,53731.0,3.4234427053283953
137,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2016,,53731.0,
138,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2016,,53731.0,
139,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2016,2609.0,53731.0,48.556699112244324
140,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2017,2916.0,52051.0,56.02197844421817
141,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2017,2916.0,52051.0,56.02197844421817
142,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2017,2452.0,52051.0,47.10764442565945
143,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2017,2209.542,52051.0,42.44955908628076
144,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2017,76.237,52051.0,1.4646596607173732
145,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2017,,52051.0,
146,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2017,166.221,52051.0,3.193425678661313
147,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2017,,52051.0,
148,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2017,,52051.0,
149,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2017,2452.0,52051.0,47.10764442565945
150,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2018,2741.0,51062.0,53.67984019427363
151,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2018,2741.0,51062.0,53.67984019427363
152,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2018,2430.0,51062.0,47.58920527985586
153,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2018,2207.317,51062.0,43.22817359288708
154,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2018,64.17,51062.0,1.2567075320198975
155,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2018,,51062.0,
156,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2018,158.513,51062.0,3.104324154948886
157,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2018,,51062.0,
158,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2018,,51062.0,
159,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2018,2430.0,51062.0,47.58920527985586
160,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2019,2834.0,50084.0,56.58493730532705
161,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2019,2834.0,50084.0,56.58493730532705
162,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2019,2480.0,50084.0,49.5168117562495
163,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2019,2246.553,50084.0,44.85570241993451
164,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2019,22.245,50084.0,0.44415382157974603
165,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2019,,50084.0,
166,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2019,211.202,50084.0,4.216955514735244
167,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2019,,50084.0,
