,Reiso tipas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
77,Užsakomasis reisas,Kauno m. sav.,tūkst. km,2018,7230.5,287574.0,25.143093603733302
78,Vietinio (priemiestinio) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2018,5918.900000000001,287574.0,20.582180586562068
79,Iš viso pagal reiso tipą,Kauno m. sav.,tūkst. km,2018,54730.700000000004,287574.0,190.31866580427996
80,Tolimojo susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2019,13131.9,287191.0,45.725318690348935
81,Specialus reisas,Kauno m. sav.,tūkst. km,2019,2341.6,287191.0,8.1534588479444
82,Tarptautinio susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2019,2364.1,287191.0,8.231803921432078
83,Reguliarus reisas,Kauno m. sav.,tūkst. km,2019,44593.90000000001,287191.0,155.27610544898693
84,Vietinio (miesto) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2019,22822.2,287191.0,79.4669749400225
85,Užsakomasis reisas,Kauno m. sav.,tūkst. km,2019,9663.7,287191.0,33.649034962794794
86,Vietinio (priemiestinio) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2019,6275.699999999999,287191.0,21.852007897183405
87,Iš viso pagal reiso tipą,Kauno m. sav.,tūkst. km,2019,56599.2,287191.0,197.0785992597261
88,Tolimojo susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2020,10197.1,292613.0,34.8484175344226
89,Specialus reisas,Kauno m. sav.,tūkst. km,2020,2582.5,292613.0,8.825650261608336
90,Tarptautinio susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2020,537.7,292613.0,1.837580695321124
91,Reguliarus reisas,Kauno m. sav.,tūkst. km,2020,36579.799999999996,292613.0,125.0108505090341
92,Vietinio (miesto) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2020,20314.5,292613.0,69.42446166096516
93,Užsakomasis reisas,Kauno m. sav.,tūkst. km,2020,3864.299999999999,292613.0,13.206180176547177
94,Vietinio (priemiestinio) susisiekimo maršrutas,Kauno m. sav.,tūkst. km,2020,5530.5,292613.0,18.90039061832523
95,Iš viso pagal reiso tipą,Kauno m. sav.,tūkst. km,2020,43026.59999999999,292613.0,147.0426809471896
96,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2015,614.7,55039.0,11.1684441941169
97,Specialus reisas,Alytaus m. sav.,tūkst. km,2015,267.0,55039.0,4.851105579679864
98,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2015,,55039.0,
99,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2015,3620.2,55039.0,65.77517760133723
100,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2015,2124.6,55039.0,38.60171878122785
101,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2015,1466.5,55039.0,26.64474281872854
102,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2015,880.9,55039.0,16.005014625992477
103,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2015,5353.7,55039.0,97.27102599974563
104,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2016,616.2,53731.0,11.46823993597737
105,Specialus reisas,Alytaus m. sav.,tūkst. km,2016,323.7,53731.0,6.024455156241276
106,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2016,,53731.0,
107,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2016,3960.5,53731.0,73.70977647912751
108,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2016,2324.3,53731.0,43.25808192663454
109,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2016,1374.9,53731.0,25.588580149262068
110,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2016,1020.0,53731.0,18.983454616515605
111,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2016,5659.1,53731.0,105.32281178463084
112,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2017,615.1,52051.0,11.817256152619548
113,Specialus reisas,Alytaus m. sav.,tūkst. km,2017,276.6,52051.0,5.314018942959789
114,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2017,,52051.0,
115,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2017,3878.0,52051.0,74.50385199131621
116,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2017,2328.6,52051.0,44.73689266296517
117,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2017,1546.0,52051.0,29.70163877735298
118,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2017,934.3,52051.0,17.949703175731493
119,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2017,5700.6,52051.0,109.519509711629
120,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2018,617.2,51062.0,12.087266460381498
121,Specialus reisas,Alytaus m. sav.,tūkst. km,2018,116.4,51062.0,2.27958168501038
122,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2018,,51062.0,
123,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2018,4068.7,51062.0,79.68156358936194
124,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2018,2475.0,51062.0,48.470486859112455
125,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2018,337.1,51062.0,6.601778230386589
126,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2018,976.5,51062.0,19.123810269868006
127,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2018,4522.2,51062.0,88.56292350475891
128,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2019,792.2,50084.0,15.817426723105186
129,Specialus reisas,Alytaus m. sav.,tūkst. km,2019,222.3,50084.0,4.4385432473444615
130,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2019,,50084.0,
131,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2019,1864.2,50084.0,37.2214679338711
132,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2019,,50084.0,
133,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2019,318.4,50084.0,6.357319702899129
134,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2019,1072.0,50084.0,21.404041210765914
135,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2019,2404.9,50084.0,48.017330884114685
136,Tolimojo susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2020,466.5,49607.0,9.40391477009293
