,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
81,Kauno m. sav.,"Azoto oksidai, tonos",tonos,2019,787.84,287191.0,2.743261453179243
82,Kauno m. sav.,Fluoras ir kiti teršalai,tonos,2019,14.39,287191.0,0.05010602699945333
83,Kauno m. sav.,"Anglies monoksidas, tonos",tonos,2019,2764.86,287191.0,9.627251550361956
84,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2019,886.48,287191.0,3.0867262553492276
85,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2019,46.58,287191.0,0.16219171213582598
86,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2019,4500.150000000001,287191.0,15.669536998025706
87,Kauno m. sav.,Kietosios medžiagos,tonos,2019,144.99,287191.0,0.504855653554603
88,Kauno m. sav.,Visi teršalai,tonos,2020,2934.21,292613.0,10.027613263935642
89,Kauno m. sav.,"Azoto oksidai, tonos",tonos,2020,305.78,292613.0,1.044998000772351
90,Kauno m. sav.,Fluoras ir kiti teršalai,tonos,2020,12.49,292613.0,0.042684364672793074
91,Kauno m. sav.,"Anglies monoksidas, tonos",tonos,2020,1547.85,292613.0,5.289751309750421
92,Kauno m. sav.,Lakūs organiniai junginiai,tonos,2020,839.83,292613.0,2.8701048825581914
93,Kauno m. sav.,"Sieros dioksidas, tonos",tonos,2020,107.59,292613.0,0.3676870132222424
94,Kauno m. sav.,Dujinės ir skystosios medžiagos,tonos,2020,2813.54,292613.0,9.615225570976
95,Kauno m. sav.,Kietosios medžiagos,tonos,2020,120.67,292613.0,0.41238769295964295
96,Alytaus m. sav.,Visi teršalai,tonos,2015,504.3,55039.0,9.162593797125675
97,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2015,82.2,55039.0,1.4934864368902052
98,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2015,2.3,55039.0,0.041788549937317176
99,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2015,348.6,55039.0,6.333690655716856
100,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2015,4.3,55039.0,0.07812641944802776
101,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2015,8.6,55039.0,0.1562528388960555
102,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2015,446.0,55039.0,8.10334490088846
103,Alytaus m. sav.,Kietosios medžiagos,tonos,2015,58.3,55039.0,1.0592488962372135
104,Alytaus m. sav.,Visi teršalai,tonos,2016,502.2,53731.0,9.346559714131507
105,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2016,78.1,53731.0,1.453537064264577
106,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2016,1.6,53731.0,0.02977796802590683
107,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2016,354.3,53731.0,6.593958794736745
108,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2016,4.1,53731.0,0.07630604306638626
109,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2016,8.4,53731.0,0.1563343321360109
