,Išvalymas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
80,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2019,3003.327,50084.0,59.96579746026676
81,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2019,,50084.0,
82,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2019,2736.57,50084.0,54.63960546282246
83,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2019,266.757,50084.0,5.326191997444294
84,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2019,,50084.0,
85,Iš viso išleista nuotekų,Alytaus m. sav.,tūkst. m³,2020,2958.881,49607.0,59.64644102646804
86,"Išleista nuotekų, kurių nereikia valyti",Alytaus m. sav.,tūkst. m³,2020,0.0,49607.0,0.0
87,Išleista išvalytų iki normos nuotekų,Alytaus m. sav.,tūkst. m³,2020,2958.881,49607.0,59.64644102646804
88,Išleista nepakankamai išvalytų nuotekų,Alytaus m. sav.,tūkst. m³,2020,0.0,49607.0,0.0
89,Išleista užterštų (be valymo nuotekų),Alytaus m. sav.,tūkst. m³,2020,0.0,49607.0,0.0
90,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2015,56506.319,155096.0,364.3312464538093
91,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2015,40261.291000000005,155096.0,259.58948651158
92,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2015,16229.705,155096.0,104.64296306803527
93,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2015,,155096.0,
94,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2015,15.323,155096.0,0.09879687419404756
95,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2016,63702.0,153030.0,416.27131934914723
96,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2016,47264.281,153030.0,308.8563092204143
97,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2016,16418.587,153030.0,107.28998889106711
98,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2016,,153030.0,
99,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2016,19.132,153030.0,0.12502123766581716
100,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2017,75669.399,149860.0,504.93393166955826
101,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2017,57254.841,149860.0,382.055525156813
102,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2017,18389.524,149860.0,122.71135726678234
103,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2017,7.84,149860.0,0.0523154944614974
104,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2017,17.194,149860.0,0.11473375150140129
105,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2018,69959.18300000002,148103.0,472.3684395319475
106,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2018,55178.11,148103.0,372.56578192204074
107,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2018,14673.788,148103.0,99.07826310067993
108,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2018,93.872,148103.0,0.6338291594363382
109,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2018,13.413,148103.0,0.09056534979034861
110,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2019,78654.511,148511.0,529.6207755654463
111,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2019,62467.275,148511.0,420.62389317962976
112,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2019,14926.191000000003,148511.0,100.50562584589696
113,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2019,986.7,148511.0,6.6439522998296425
114,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2019,274.345,148511.0,1.8473042400899597
115,Iš viso išleista nuotekų,Klaipėdos m. sav.,tūkst. m³,2020,83417.437,149433.0,558.2263422403352
116,"Išleista nuotekų, kurių nereikia valyti",Klaipėdos m. sav.,tūkst. m³,2020,68215.875,149433.0,456.4980626769187
117,Išleista išvalytų iki normos nuotekų,Klaipėdos m. sav.,tūkst. m³,2020,15162.768,149433.0,101.46867157856698
118,Išleista nepakankamai išvalytų nuotekų,Klaipėdos m. sav.,tūkst. m³,2020,28.612,149433.0,0.1914704248726854
119,Išleista užterštų (be valymo nuotekų),Klaipėdos m. sav.,tūkst. m³,2020,10.182,149433.0,0.06813755997671198
120,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2015,38311.823000000004,543295.0,70.51753283207097
121,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2015,110.4,543295.0,0.2032045205643343
122,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2015,1854.328,543295.0,3.41311442218316
123,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2015,36347.095,543295.0,66.90121388932347
124,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2015,6.913,543295.0,0.012724210603815607
125,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2016,38719.36,544513.0,71.10823800350038
126,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2016,110.376,544513.0,0.2027059041749233
127,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2016,1907.029,544513.0,3.502265326998621
128,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2016,36701.955,544513.0,67.40326677232683
129,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2016,,544513.0,
