"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","88820"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","14212"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","74608"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","90440"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","14052"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","76388"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","91513"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13759"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","77754"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","93924"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13619"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","80305"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","96005"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13423"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","82582"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","96036"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13109"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","82927"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","98418"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","12905"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","85513"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","49509"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","25108"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","24401"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","48465"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","24570"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","23895"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","47229"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","23746"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","23483"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","46299"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","23208"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","23091"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45613"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","22850"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22763"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45056"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","22551"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22505"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","44388"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","22225"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22163"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","27900"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","10327"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","17573"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","27389"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","10071"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","17318"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","26725"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9748"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","16977"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","26285"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9568"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","16717"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","26030"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9532"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","16498"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","25594"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9399"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","16195"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","25193"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9227"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","15966"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","34683"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","13638"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","21045"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","33895"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","13327"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","20568"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","32946"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12857"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","20089"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","32198"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12605"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","19593"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","31594"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12477"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","19117"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","30958"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12376"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","18582"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","30284"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12063"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","18221"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","325653"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","232361"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","93292"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","322739"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","228946"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","93793"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","318266"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","223805"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","94461"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","317358"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","220934"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","96424"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","318693"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","221815"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","96878"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","320876"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","222820"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","98056"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas ir kaimas","asmenys","321479"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","221656"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","99823"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","155096"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","155096"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","153030"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","153030"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","149860"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","149860"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","148103"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","148103"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","148511"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","148511"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","149433"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","149433"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","148348"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","148348"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","52980"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","16224"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","36756"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","53848"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15924"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","37924"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","55171"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15368"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","39803"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","57486"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15008"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","42478"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","59164"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15612"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","43552"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","60945"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15643"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","45302"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","63518"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","15567"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","47951"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","39447"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","20006"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19441"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","38855"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","19452"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19403"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","38203"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18927"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19276"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37779"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18370"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19409"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37420"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18031"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19389"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37438"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","17948"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19490"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas ir kaimas","asmenys","37153"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","17679"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19474"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","2971"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","2971"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3064"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3064"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3168"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3168"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3367"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3367"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3508"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3508"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3603"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3603"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas ir kaimas","asmenys","3782"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","3782"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","15487"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","15487"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","15511"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","15511"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","15429"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","15429"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","15523"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","15523"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","15853"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","15853"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","16159"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","16159"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas ir kaimas","asmenys","16518"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","16518"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","18264"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5877"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","12387"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","17808"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5694"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","12114"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","17179"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5473"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","11706"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","16675"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5345"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","11330"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","16279"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5212"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","11067"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","15897"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5095"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10802"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas ir kaimas","asmenys","15454"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5000"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10454"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","41408"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","16700"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","24708"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","40623"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","16271"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","24352"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","39256"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","15580"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","23676"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","38425"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","15218"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","23207"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","37958"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","15088"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","22870"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas ir kaimas","asmenys","37401"
