"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","15617"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","9793"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","24843"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","15269"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","9574"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","24154"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","14855"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","9299"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","23594"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","14527"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","9067"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","23149"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","14263"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8886"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22682"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13994"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8688"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22228"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13760"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8468"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","33285"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","17270"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16015"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32798"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16888"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","15910"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32507"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16635"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","15872"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32469"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16355"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16114"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32493"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16236"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16257"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","32823"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","16093"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16730"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas ir kaimas","asmenys","33403"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","15946"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","17457"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","36497"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","21996"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","14501"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","35771"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","21482"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","14289"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34804"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20859"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13945"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34134"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20436"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13698"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33673"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20241"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13432"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33222"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","20027"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13195"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas ir kaimas","asmenys","32825"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","19740"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13085"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","543295"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","543026"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","269"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","544513"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","544259"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","254"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","546504"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","546267"
